Player,span_x,matches_x,innings_x,not outs,runs_x,highscore,average_x,balls faced,strikerate,hundreds,fifties,ducks,fours,sixes,span_y,matches_y,innings_y,balls,overs,maidens,runs_y,wickets,BBI,BBM,average_y,economy,strike rate,four wicket haul,fifer,bowling-style,span,matches,innings,dismissals,catches,stumpings,max dismissals in innings,dismissals/innings,,position
MR Adair (IRE),,,,,,,,,,,,,,,2021-2021,3,3,58,9.4,-,56,5,9-Mar,9-Mar,11.2,5.79,11.6,-,-,Right-arm fast,,,,,,,,,,8
JB Little (IRE),,,,,,,,,,,,,,,2021-2021,3,3,72,12,-,59,5,23-Apr,23-Apr,11.8,4.91,14.4,1,-,Left-arm fast-medium,,,,,,,,,,8
Mohammad Saifuddin (BAN),,,,,,,,,,,,,,,2021-2021,4,4,90,15,-,105,5,21-Feb,21-Feb,21,7,18,-,-,Right-arm fast-medium,,,,,,,,,,8
AJ Hosein (WI),,,,,,,,,,,,,,,2021-2021,5,5,108,18,-,126,5,24-Feb,24-Feb,25.2,7,21.6,-,-,Left-arm orthodox,,,,,,,,,,8
Naveen-ul-Haq (AFG),,,,,,,,,,,,,,,2021-2021,5,5,90,15,-,135,5,26-Mar,26-Mar,27,9,18,-,-,Right-arm fast-medium,,,,,,,,,,9
PJ Cummins (AUS),,,,,,,,,,,,,,,2021-2021,7,7,144,24,-,177,5,Feb-34,Feb-34,35.4,7.37,28.8,-,-,Right-arm fast,,,,,,,,,,9
Hasan Ali (PAK),,,,,,,,,,,,,,,2021-2021,6,6,138,23,2,207,5,Feb-44,Feb-44,41.4,9,27.6,-,-,Right-arm fast-medium,,,,,,,,,,9
Kaleemullah (OMA),,,,,,,,,,,,,,,2021-2021,2,2,42,7,-,49,4,19-Feb,19-Feb,12.25,7,10.5,-,-,Right-arm fast-medium,,,,,,,,,,9
Fayyaz Butt (OMA),,,,,,,,,,,,,,,2021-2021,2,2,42,7,-,56,4,30-Mar,30-Mar,14,8,10.5,-,-,Right-arm fast-medium,,,,,,,,,,9
Shoriful Islam (BAN),,,,,,,,,,,,,,,2021-2021,4,4,73,12.1,-,70,4,20-Feb,20-Feb,17.5,5.75,18.25,-,-,Left-arm fast-medium,,,,,,,,,,9
Nasum Ahmed (BAN),,,,,,,,,,,,,,,2021-2021,3,3,47,7.5,-,77,4,Feb-29,Feb-29,19.25,9.82,11.75,-,-,Left-arm orthodox,,,,,,,,,,8
Imad Wasim (PAK),,,,,,,,,,,,,,,2021-2021,6,6,120,20,-,114,4,25-Feb,25-Feb,28.5,5.7,30,-,-,Left-arm orthodox,,,,,,,,,,6
B Fernando (SL),,,,,,,,,,,,,,,2021-2021,2,2,30,5,-,51,3,24-Feb,24-Feb,17,10.2,10,-,-,Right-arm fast-medium,,,,,,,,,,5
Hamid Hassan (AFG),,,,,,,,,,,,,,,2021-2021,3,3,66,11,-,57,3,9-Mar,9-Mar,19,5.18,22,-,-,Right-arm fast-medium,,,,,,,,,,7
CA Soper (PNG),,,,,,,,,,,,,,,2021-2021,2,2,48,8,-,77,3,24-Mar,24-Mar,25.66,9.62,16,-,-,Right-arm fast-medium,,,,,,,,,,7
